Picture Path,Label,width,height,Luminance,RGB,LBP
./Multi-class Weather Dataset/Rain/rain11.jpg,Pluvieux,759,422,0.17086368162276344,"[96.34336832423001, 97.13201971280282, 95.89269273967868]","[11415, 10933, 7322, 9851, 13583, 10923, 8497, 11425, 13681, 21008]"
./Multi-class Weather Dataset/Cloudy/cloudy9.jpg,Nuageux,259,194,0.14014461288059782,"[92.93903401260557, 95.43096370366156, 107.99487648350444]","[199, 1609, 1038, 11828, 40377, 39034, 8436, 5045, 8762, 2310]"
./Multi-class Weather Dataset/Cloudy/cloudy279.jpg,Nuageux,256,160,0.10415868129317808,"[123.73691555403833, 136.04152600768725, 148.1340984496957]","[117, 1198, 287, 12751, 18387, 40310, 7642, 9935, 26211, 1800]"
./Multi-class Weather Dataset/Sunrise/sunrise93.jpg,Lever du soleil,500,375,0.21142237227972324,"[132.97535030407627, 123.48453432790295, 112.11909429841198]","[1247, 4918, 693, 10103, 8542, 25370, 5156, 10369, 42802, 9438]"
./Multi-class Weather Dataset/Cloudy/cloudy3.jpg,Nuageux,326,155,0.20204399774242188,"[99.15902663196024, 103.1223690646652, 118.85840635615276]","[357, 1708, 1387, 14856, 26688, 36596, 8502, 8294, 17840, 2410]"
./Multi-class Weather Dataset/Sunrise/sunrise142.jpg,Lever du soleil,275,183,0.28442274639704807,"[189.02242848913292, 99.33865190221515, 17.484401571113388]","[318, 2808, 1010, 11142, 27586, 34001, 7805, 7136, 23488, 3344]"
./Multi-class Weather Dataset/Shine/shine125.jpg,Ensoleillé,1024,768,0.21219870849062397,"[78.42829368541277, 110.744365343524, 153.08612102835937]","[5540, 8707, 5571, 12582, 18084, 15914, 10006, 10127, 14721, 17386]"
./Multi-class Weather Dataset/Sunrise/sunrise291.jpg,Lever du soleil,300,112,0.16910804713685995,"[120.78247829663556, 103.89588792429491, 87.8420580753005]","[154, 1607, 187, 10878, 8485, 34477, 4339, 9497, 46414, 2600]"
./Multi-class Weather Dataset/Sunrise/sunrise73.jpg,Lever du soleil,275,184,0.21788703881392987,"[84.56972625629014, 108.81141163797645, 122.94227443725872]","[485, 3324, 1830, 11799, 36236, 36892, 7602, 6222, 10438, 3810]"
./Multi-class Weather Dataset/Sunrise/sunrise171.jpg,Lever du soleil,284,177,0.21735337394584933,"[231.0293940719352, 163.4128269926162, 33.8083333069927]","[317, 2458, 486, 12878, 12488, 34669, 5616, 11456, 34601, 3669]"
./Multi-class Weather Dataset/Shine/shine225.jpg,Ensoleillé,227,152,0.20304787782470932,"[144.65533413619582, 189.25762778631216, 199.48190740951466]","[588, 3401, 2183, 12611, 37845, 31754, 7465, 6119, 12802, 3870]"
./Multi-class Weather Dataset/Shine/shine90.jpg,Ensoleillé,259,194,0.11798427457570078,"[153.88865175734165, 167.22503500670106, 178.43878575214097]","[706, 4251, 2009, 10891, 26245, 34599, 6162, 6936, 21764, 5075]"
./Multi-class Weather Dataset/Sunrise/sunrise282.jpg,Lever du soleil,372,167,0.18009336054514047,"[169.8835282408461, 158.64299595328856, 134.61829499190816]","[164, 1813, 419, 11091, 16098, 39138, 7291, 7887, 31829, 2908]"
./Multi-class Weather Dataset/Cloudy/cloudy276.jpg,Nuageux,227,151,0.13791965859032546,"[65.88789097401339, 68.48064994062821, 76.77000893737673]","[96, 1191, 621, 11199, 31521, 41736, 6929, 7240, 16473, 1632]"
./Multi-class Weather Dataset/Rain/rain198.jpg,Pluvieux,299,168,0.2176048418035377,"[142.36466363933772, 142.73578079957517, 146.90876727550406]","[1162, 4285, 3323, 14323, 39809, 29734, 7996, 5697, 7573, 4736]"
./Multi-class Weather Dataset/Rain/rain152.jpg,Pluvieux,620,413,0.17879085702440192,"[149.69141711551106, 157.30230676775147, 147.6933136410762]","[7877, 10331, 8768, 12986, 16252, 13997, 10484, 10456, 10527, 16960]"
./Multi-class Weather Dataset/Sunrise/sunrise265.jpg,Lever du soleil,225,169,0.23165777638460786,"[129.57880248107688, 93.27861689156299, 34.44356183568924]","[240, 2309, 762, 11844, 22637, 37939, 7064, 8927, 23756, 3160]"
./Multi-class Weather Dataset/Sunrise/sunrise237.jpg,Lever du soleil,230,154,0.15032194517321562,"[189.51557936485358, 105.64970234426364, 33.19606017886343]","[162, 1827, 316, 8249, 15586, 39505, 3890, 6964, 38984, 3155]"
./Multi-class Weather Dataset/Shine/shine109.jpg,Ensoleillé,274,184,0.18111711320213233,"[132.74822803270243, 173.56585576369923, 203.18912034402973]","[1072, 5046, 2651, 12050, 36381, 32423, 7560, 6636, 8655, 6164]"
./Multi-class Weather Dataset/Sunrise/sunrise19.jpg,Lever du soleil,275,184,0.28980733451666113,"[192.00192744288296, 111.46514749042255, 22.069683782019673]","[615, 4294, 1817, 11732, 28562, 29653, 7171, 8092, 22201, 4501]"
./Multi-class Weather Dataset/Cloudy/cloudy37.jpg,Nuageux,259,194,0.2325317360141398,"[74.01154865536337, 81.20646881163708, 90.42830511066227]","[77, 845, 338, 11266, 19683, 43504, 6962, 7946, 26716, 1301]"
./Multi-class Weather Dataset/Sunrise/sunrise287.jpg,Lever du soleil,257,172,0.193762560440585,"[129.65373591829768, 74.96311998606053, 33.8487286100891]","[429, 3828, 1693, 10143, 30002, 35042, 6627, 6911, 19340, 4623]"
./Multi-class Weather Dataset/Cloudy/cloudy47.jpg,Nuageux,700,438,0.14962051546288938,"[83.99274450560739, 89.72823908128088, 96.2894341663295]","[1634, 5290, 3654, 14177, 37910, 27431, 8361, 5975, 7056, 7150]"
./Multi-class Weather Dataset/Rain/rain78.jpg,Pluvieux,275,183,0.1489722536509494,"[151.22376031762587, 151.19338802043822, 152.228349843642]","[1913, 5550, 4682, 16184, 32576, 26332, 9154, 6489, 9108, 6650]"
./Multi-class Weather Dataset/Cloudy/cloudy114.jpg,Nuageux,319,158,0.2354806560122464,"[107.75459848183128, 138.0183461190765, 178.4602000281318]","[633, 2599, 1929, 12998, 25983, 27400, 5976, 6040, 31695, 3385]"
./Multi-class Weather Dataset/Rain/rain133.jpg,Pluvieux,800,542,0.16040208300230613,"[73.11198680545019, 72.86657850456852, 75.00533545981263]","[8687, 9243, 6786, 12348, 16224, 15211, 7703, 10676, 12614, 19146]"
./Multi-class Weather Dataset/Cloudy/cloudy33.jpg,Nuageux,468,351,0.20117591625836012,"[115.49507110785541, 123.89427429712656, 129.4395651056154]","[245, 1688, 710, 13801, 23630, 37555, 9248, 8979, 20170, 2612]"
./Multi-class Weather Dataset/Shine/shine11.jpg,Ensoleillé,183,275,0.17142516233696842,"[134.69187794488275, 175.62900189942303, 208.13135151679901]","[713, 6828, 2363, 10371, 38238, 29472, 6816, 8254, 9228, 6355]"
./Multi-class Weather Dataset/Sunrise/sunrise172.jpg,Lever du soleil,784,508,0.2548966086684784,"[134.10892981037904, 101.26936332846559, 61.63007458877004]","[1983, 6385, 3794, 13691, 28253, 26585, 10056, 7939, 10883, 9069]"
./Multi-class Weather Dataset/Rain/rain213.jpg,Pluvieux,299,168,0.12815838092711923,"[88.43826025651562, 103.41961141771608, 124.39038589290531]","[2296, 9734, 6075, 15496, 35202, 18635, 8808, 9598, 5717, 7077]"
./Multi-class Weather Dataset/Sunrise/sunrise40.jpg,Lever du soleil,640,345,0.17790648690525374,"[139.26470953130533, 108.08722743371644, 118.17138592029957]","[1155, 4903, 1421, 13485, 15669, 30473, 9825, 11356, 22341, 8010]"
./Multi-class Weather Dataset/Shine/shine212.jpg,Ensoleillé,220,165,0.26715982002700267,"[72.32727245249204, 93.03377761420245, 106.34140808725914]","[693, 3125, 1850, 13271, 25801, 34637, 7141, 7427, 20838, 3855]"
./Multi-class Weather Dataset/Rain/rain9.jpg,Pluvieux,292,173,0.17465923712098202,"[154.6960002539237, 155.2076659934001, 152.4427810664058]","[709, 3115, 2457, 13020, 30663, 36656, 7955, 5774, 14102, 4187]"
./Multi-class Weather Dataset/Rain/rain157.jpg,Pluvieux,300,168,0.2016816143968538,"[63.699747702833406, 68.29542382868473, 73.39283972040998]","[587, 7699, 2650, 10629, 30664, 28593, 7408, 9437, 15619, 5352]"
./Multi-class Weather Dataset/Sunrise/sunrise300.jpg,Lever du soleil,242,161,0.11555551829899048,"[182.20021462347646, 91.13969096115916, 24.650343903302485]","[333, 2631, 658, 11119, 12107, 40339, 5065, 9312, 33170, 3904]"
./Multi-class Weather Dataset/Shine/shine141.jpg,Ensoleillé,600,360,0.2332637010220031,"[78.90993933488848, 124.25314763977393, 178.33616389773934]","[1094, 3090, 2207, 14094, 19156, 30325, 8720, 9063, 25316, 5573]"
./Multi-class Weather Dataset/Sunrise/sunrise251.jpg,Lever du soleil,287,162,0.09780227421094721,"[235.7109515922386, 138.33810378657134, 1.7818863896896442]","[204, 1409, 98, 9791, 2280, 23872, 1656, 9321, 67397, 2610]"
./Multi-class Weather Dataset/Sunrise/sunrise351.jpg,Lever du soleil,261,163,0.2733175975412596,"[178.8048481120088, 120.92572919432433, 90.66468183412988]","[839, 3235, 2177, 12935, 27437, 34189, 7407, 7390, 18696, 4333]"
./Multi-class Weather Dataset/Rain/rain179.jpg,Pluvieux,300,168,0.1651573186478759,"[143.4813805310061, 136.54444909356613, 142.91015002702548]","[1050, 4444, 3361, 14351, 33581, 32311, 9279, 6274, 8655, 5332]"
./Multi-class Weather Dataset/Rain/rain60.jpg,Pluvieux,480,360,0.09190501530812188,"[18.60736418901406, 74.62588474893163, 108.6970029759647]","[2225, 7492, 5638, 15481, 31180, 22882, 9162, 7777, 9194, 7607]"
./Multi-class Weather Dataset/Sunrise/sunrise49.jpg,Lever du soleil,480,360,0.26343428975168887,"[158.09845209929577, 129.25553568154808, 85.38969550491832]","[961, 3325, 2397, 11335, 20219, 33579, 8264, 6066, 26942, 5550]"
./Multi-class Weather Dataset/Cloudy/cloudy103.jpg,Nuageux,275,183,0.213896475000738,"[112.92069526890626, 127.99749112057266, 149.39640281781553]","[318, 1803, 1337, 11029, 43136, 40776, 6557, 3958, 7480, 2244]"
./Multi-class Weather Dataset/Cloudy/cloudy143.jpg,Nuageux,284,177,0.25242444775580286,"[87.22035928096395, 99.7183392836823, 126.83550090401052]","[533, 2461, 2287, 13981, 41547, 34110, 7273, 4971, 8160, 3315]"
./Multi-class Weather Dataset/Sunrise/sunrise119.jpg,Lever du soleil,284,177,0.1803287156156683,"[109.59979952144339, 132.33199601940356, 151.62619546962188]","[898, 5135, 2144, 12241, 30948, 32969, 7224, 8871, 13187, 5021]"
./Multi-class Weather Dataset/Shine/shine236.jpg,Ensoleillé,237,157,0.29769349989217064,"[165.8205353417539, 164.9895010188557, 159.63547810619278]","[261, 1815, 745, 11705, 24203, 34639, 5912, 7765, 28807, 2786]"
./Multi-class Weather Dataset/Sunrise/sunrise63.jpg,Lever du soleil,680,453,0.167081298783719,"[141.80247738920076, 112.40348005197534, 91.20074248975877]","[2430, 6580, 3906, 13855, 22290, 24231, 9264, 9675, 16309, 10098]"
./Multi-class Weather Dataset/Cloudy/cloudy29.jpg,Nuageux,274,184,0.16539769211473715,"[80.68159515448254, 77.42526398582241, 81.58401884830324]","[271, 1897, 1201, 13023, 30867, 36456, 7501, 6865, 18071, 2486]"
./Multi-class Weather Dataset/Shine/shine50.jpg,Ensoleillé,300,168,0.19343951877127247,"[99.9613637243653, 117.59665958630455, 151.00510224643452]","[837, 4500, 2365, 13192, 31886, 29841, 6719, 7825, 16982, 4491]"
./Multi-class Weather Dataset/Shine/shine194.jpg,Ensoleillé,254,170,0.26401819248968017,"[75.70758512765724, 89.90188206455773, 107.16006754791889]","[977, 3360, 2861, 16557, 28232, 28644, 8375, 8338, 17190, 4104]"
./Multi-class Weather Dataset/Cloudy/cloudy97.jpg,Nuageux,318,159,0.14868602594174615,"[150.96840730836664, 166.12178499405755, 183.55364032814106]","[277, 1610, 1133, 11868, 28528, 34527, 6779, 5710, 25877, 2329]"
./Multi-class Weather Dataset/Rain/rain191.jpg,Pluvieux,259,194,0.10650502240717191,"[138.6331746178501, 149.63625851329255, 137.96837751052573]","[1273, 5244, 4752, 17402, 40511, 25295, 8824, 5660, 4328, 5349]"
./Multi-class Weather Dataset/Rain/rain209.jpg,Pluvieux,2048,1360,0.1927154991629858,"[104.99578385245452, 120.57952908743404, 93.79330350651773]","[10948, 13491, 6315, 9948, 12740, 10643, 7696, 12416, 13111, 21330]"
./Multi-class Weather Dataset/Shine/shine82.jpg,Ensoleillé,287,176,0.18587485506406834,"[147.90071609644465, 163.0925638813028, 184.09768957090054]","[702, 2603, 2347, 14618, 33913, 32679, 8621, 6580, 13188, 3387]"
./Multi-class Weather Dataset/Rain/rain82.jpg,Pluvieux,259,194,0.21462626154245684,"[163.12897648071234, 197.54290987868558, 209.9240332856041]","[1364, 4695, 3290, 13328, 26344, 29848, 7853, 7153, 18905, 5858]"
./Multi-class Weather Dataset/Sunrise/sunrise112.jpg,Lever du soleil,225,225,0.08832818290357632,"[122.2292626782734, 109.07394421475412, 94.8014969908461]","[252, 3480, 763, 6442, 16749, 43213, 4150, 5818, 31865, 5906]"
./Multi-class Weather Dataset/Cloudy/cloudy129.jpg,Nuageux,1024,576,0.1456967791172078,"[155.40296871444014, 168.3537789325511, 180.98500401431244]","[3880, 6548, 5328, 13960, 15648, 19746, 9602, 9420, 22100, 12406]"
./Multi-class Weather Dataset/Rain/rain94.jpg,Pluvieux,1280,720,0.16229404288882765,"[38.79336721792343, 65.84281447949856, 113.62481153277196]","[7781, 12884, 5299, 9299, 16538, 15318, 10397, 11036, 13346, 16740]"
./Multi-class Weather Dataset/Sunrise/sunrise256.jpg,Lever du soleil,230,173,0.1835641645447386,"[218.52929272635032, 142.18109527512263, 60.40906913915651]","[375, 3996, 1580, 9253, 37350, 41029, 6280, 5935, 8618, 4222]"
./Multi-class Weather Dataset/Sunrise/sunrise97.jpg,Lever du soleil,300,168,0.2307334240063701,"[156.15692652622894, 81.59392997237394, 16.19609076692333]","[501, 4008, 1278, 8799, 21750, 39292, 5825, 6321, 24836, 6028]"
./Multi-class Weather Dataset/Cloudy/cloudy157.jpg,Nuageux,282,179,0.16196178185838775,"[183.65959637984878, 186.49819882752575, 187.90087776207875]","[254, 1927, 1101, 12784, 30491, 37396, 8388, 7039, 16644, 2614]"
./Multi-class Weather Dataset/Sunrise/sunrise175.jpg,Lever du soleil,1000,750,0.17142551161978128,"[139.8717785735283, 103.77145296379533, 92.07898903860905]","[4760, 8710, 4586, 12505, 22144, 19882, 9236, 10626, 12033, 14156]"
./Multi-class Weather Dataset/Cloudy/cloudy282.jpg,Nuageux,236,177,0.16867932819240933,"[126.109375, 134.6405484475358, 139.5222192786565]","[81, 1209, 353, 11589, 23363, 42220, 8061, 8850, 21126, 1786]"
./Multi-class Weather Dataset/Cloudy/cloudy123.jpg,Nuageux,852,480,0.18635080337572757,"[111.2572179589908, 135.65514843473423, 180.7668830286249]","[527, 2170, 1688, 12565, 24428, 36325, 8986, 4775, 23510, 3664]"
./Multi-class Weather Dataset/Sunrise/sunrise211.jpg,Lever du soleil,640,480,0.1885070922553793,"[124.32435190189905, 92.72956240174943, 70.39539802144971]","[877, 4480, 1659, 10974, 25774, 31205, 7393, 7164, 21806, 7306]"
./Multi-class Weather Dataset/Rain/rain46.jpg,Pluvieux,852,480,0.06244232766431056,"[103.87146535047792, 113.78100058713271, 107.94299577548931]","[7823, 10504, 9100, 13880, 15243, 13266, 10431, 10925, 10808, 16658]"
./Multi-class Weather Dataset/Shine/shine221.jpg,Ensoleillé,240,160,0.20600539313027985,"[67.00557874848278, 92.0233118551813, 149.19360447458865]","[251, 1601, 963, 12988, 19751, 31445, 5713, 8536, 35099, 2291]"
./Multi-class Weather Dataset/Sunrise/sunrise205.jpg,Lever du soleil,259,194,0.31453535606782135,"[132.14037726634805, 128.06474501213776, 125.95311522104005]","[415, 2671, 1414, 10815, 26358, 36768, 6343, 6913, 23693, 3248]"
./Multi-class Weather Dataset/Sunrise/sunrise163.jpg,Lever du soleil,275,183,0.2034521527141925,"[191.1875577847633, 189.75486682702845, 144.80459119206114]","[894, 3027, 1827, 12507, 15899, 32009, 5188, 8990, 34101, 4196]"
./Multi-class Weather Dataset/Sunrise/sunrise293.jpg,Lever du soleil,228,171,0.24287118764641255,"[161.37629724324205, 108.46136708279599, 72.25230388345219]","[484, 2481, 1415, 12418, 23450, 40994, 6334, 7985, 19917, 3160]"
./Multi-class Weather Dataset/Sunrise/sunrise333.jpg,Lever du soleil,318,162,0.12235719203136057,"[200.40154503616043, 65.18972321526408, 5.785437633810415]","[198, 1574, 567, 7171, 22683, 40695, 4320, 4646, 33927, 2857]"
./Multi-class Weather Dataset/Sunrise/sunrise34.jpg,Lever du soleil,1920,1280,0.16246181187875816,"[34.27217226062687, 93.4647829689897, 151.32565961554266]","[7997, 9819, 4007, 8612, 7832, 12154, 8527, 13385, 24116, 22189]"
./Multi-class Weather Dataset/Shine/shine80.jpg,Ensoleillé,225,225,0.10496274786064265,"[201.30723095150796, 226.16468163657512, 238.2365826084391]","[395, 2534, 1351, 11806, 23893, 32651, 7186, 7316, 28084, 3422]"
./Multi-class Weather Dataset/Rain/rain18.jpg,Pluvieux,635,423,0.21566002324221734,"[128.08885884081195, 135.89747886559323, 136.82631164498306]","[5130, 9147, 7258, 14618, 23296, 17258, 10202, 9162, 9041, 13526]"
./Multi-class Weather Dataset/Sunrise/sunrise330.jpg,Lever du soleil,202,152,0.19870925865544642,"[215.17625143029636, 147.68318609578085, 48.36742189870657]","[238, 2281, 720, 9492, 30457, 42287, 6213, 6550, 17028, 3372]"
./Multi-class Weather Dataset/Cloudy/cloudy22.jpg,Nuageux,720,476,0.29900593603231174,"[123.17351516535595, 128.42530922585934, 134.23585725326203]","[1423, 3853, 1809, 12718, 34634, 28469, 6966, 7220, 13456, 8090]"
./Multi-class Weather Dataset/Rain/rain145.jpg,Pluvieux,188,194,0.08283314211769298,"[161.47168684885955, 165.71344756475582, 173.27622973878522]","[1184, 4778, 4057, 16671, 33951, 29558, 10115, 6124, 6688, 5512]"
./Multi-class Weather Dataset/Cloudy/cloudy194.jpg,Nuageux,312,164,0.20921050551487266,"[139.32047360589567, 133.3642095597532, 112.93862211095939]","[578, 2763, 2101, 13920, 35868, 35542, 9345, 6266, 8866, 3389]"
./Multi-class Weather Dataset/Rain/rain182.jpg,Pluvieux,553,369,0.21390826899868098,"[146.00407150454535, 145.9611640952941, 140.26214220859885]","[10008, 10785, 8542, 11262, 10696, 10825, 9603, 11948, 14288, 20681]"
./Multi-class Weather Dataset/Sunrise/sunrise246.jpg,Lever du soleil,262,175,0.2053047397070867,"[87.85660557878799, 58.88640924756402, 25.781177892517576]","[913, 3456, 2040, 12856, 27086, 32276, 7130, 7680, 20640, 4561]"
./Multi-class Weather Dataset/Cloudy/cloudy28.jpg,Nuageux,768,508,0.09604068527101074,"[109.83531572936158, 110.76848638294645, 104.41991183263373]","[2530, 6259, 3210, 12824, 18756, 25578, 10973, 9306, 16875, 12327]"
./Multi-class Weather Dataset/Cloudy/cloudy14.jpg,Nuageux,2000,2000,0.21502514355184296,"[113.27633118314748, 123.76037280951297, 135.2279070576038]","[4508, 6160, 6531, 15406, 28073, 20706, 8979, 7549, 8887, 11839]"
./Multi-class Weather Dataset/Shine/shine135.jpg,Ensoleillé,238,212,0.18413510690398383,"[94.0165109671859, 128.38079684892278, 180.75655697373523]","[163, 1229, 625, 8630, 32251, 32057, 4744, 4310, 32750, 1879]"
./Multi-class Weather Dataset/Sunrise/sunrise161.jpg,Lever du soleil,284,177,0.1454910604045141,"[186.20202007630354, 174.2365914984027, 151.93894748362666]","[527, 2259, 1381, 13827, 26599, 33008, 6430, 8622, 22969, 3016]"
./Multi-class Weather Dataset/Sunrise/sunrise223.jpg,Lever du soleil,291,164,0.21996697471495916,"[127.77576719727237, 72.70182983108279, 8.353012946947858]","[449, 2535, 1301, 12721, 25608, 33183, 6805, 7596, 24732, 3708]"
./Multi-class Weather Dataset/Sunrise/sunrise64.jpg,Lever du soleil,240,160,0.14855645402239853,"[238.9786003430604, 134.89391231097963, 15.460443316801951]","[245, 2210, 679, 10073, 28473, 41630, 6161, 7015, 18841, 3311]"
./Multi-class Weather Dataset/Sunrise/sunrise14.jpg,Lever du soleil,1000,667,0.19699687615848038,"[191.83756584499696, 125.96899154360322, 84.69133503151393]","[4213, 6715, 4194, 12500, 23936, 23852, 8720, 9080, 12595, 12833]"
./Multi-class Weather Dataset/Cloudy/cloudy92.jpg,Nuageux,299,168,0.15654406058106363,"[115.38389470490063, 157.3448639124374, 193.42652148763466]","[511, 2444, 2036, 13503, 36777, 29116, 6315, 5284, 19588, 3064]"
./Multi-class Weather Dataset/Sunrise/sunrise98.jpg,Lever du soleil,1024,576,0.17667238229932491,"[133.93817642745157, 55.68507679348101, 11.329317736781217]","[2310, 5476, 2845, 10435, 14587, 25410, 6643, 7552, 33675, 9705]"
./Multi-class Weather Dataset/Cloudy/cloudy175.jpg,Nuageux,238,158,0.14558675239081809,"[168.19608954866905, 180.16544933431953, 187.08049710569125]","[94, 1252, 269, 12208, 24738, 40323, 8324, 9199, 20335, 1896]"
./Multi-class Weather Dataset/Shine/shine210.jpg,Ensoleillé,238,179,0.21658201770407884,"[117.5367955592854, 148.01763057578515, 175.6939892783088]","[534, 2383, 2127, 14848, 37651, 33029, 8128, 6184, 10649, 3105]"
./Multi-class Weather Dataset/Shine/shine224.jpg,Ensoleillé,300,168,0.12934728101892068,"[98.23443854677674, 144.54776070377957, 197.4019138708719]","[569, 2178, 1802, 10473, 19767, 26099, 4754, 4722, 45690, 2584]"
./Multi-class Weather Dataset/Shine/shine180.jpg,Ensoleillé,244,183,0.2372322314692125,"[110.63163537004375, 161.30712196713952, 218.15102141730517]","[522, 3015, 1514, 14668, 20093, 30249, 6780, 10094, 27412, 4291]"
./Multi-class Weather Dataset/Shine/shine248.jpg,Ensoleillé,221,166,0.1437894144317614,"[160.59866200121377, 173.05993178829718, 197.03821024882416]","[283, 1885, 1050, 13544, 25005, 34991, 7664, 8762, 22804, 2650]"
./Multi-class Weather Dataset/Shine/shine232.jpg,Ensoleillé,280,175,0.1917132450137025,"[127.5172333590418, 157.6514223546629, 188.79549932752366]","[1000, 4049, 3300, 15477, 33479, 29667, 8248, 6649, 11838, 4931]"
./Multi-class Weather Dataset/Rain/rain45.jpg,Pluvieux,266,190,0.17307771231188354,"[101.97050448370253, 106.0583661010806, 100.35571144600591]","[2124, 6363, 5738, 17513, 35160, 23925, 9099, 6657, 5053, 7006]"
./Multi-class Weather Dataset/Cloudy/cloudy257.jpg,Nuageux,225,300,0.1292144347284294,"[161.1245281734141, 169.86092014152294, 177.45244432512138]","[9, 744, 77, 7911, 10510, 56053, 5746, 6193, 29803, 1592]"
./Multi-class Weather Dataset/Rain/rain165.jpg,Pluvieux,550,366,0.19356485727663084,"[163.1832810208365, 161.61553528380452, 163.16817150702136]","[4208, 9161, 5542, 13293, 23200, 20663, 9144, 9454, 10753, 13220]"
./Multi-class Weather Dataset/Rain/rain8.jpg,Pluvieux,570,400,0.10741422419294175,"[101.87833916910054, 102.42614959082461, 102.02731915443408]","[4750, 8618, 8318, 16024, 21437, 18187, 12044, 8711, 7984, 12565]"
./Multi-class Weather Dataset/Shine/shine134.jpg,Ensoleillé,267,189,0.2090944721381676,"[122.26097304668403, 147.37344484903656, 188.60497835326794]","[77, 1187, 117, 13309, 10480, 35113, 6932, 11582, 38159, 1682]"
./Multi-class Weather Dataset/Sunrise/sunrise28.jpg,Lever du soleil,259,194,0.22181794542438552,"[110.10282355779768, 106.41987969706165, 89.02330698216423]","[507, 3923, 1141, 13415, 24912, 34193, 8557, 11512, 16181, 4297]"
./Multi-class Weather Dataset/Rain/rain178.jpg,Pluvieux,648,360,0.19299527134797254,"[130.07373375309766, 119.54237944419157, 121.40839277755651]","[5432, 10113, 7171, 14448, 22799, 16670, 9775, 10096, 8660, 13474]"
./Multi-class Weather Dataset/Rain/rain47.jpg,Pluvieux,852,480,0.05974154557633695,"[93.16046571951019, 93.60100249814562, 94.13915611460915]","[7033, 9953, 8902, 14167, 15251, 13776, 10656, 10542, 11940, 16418]"
./Multi-class Weather Dataset/Sunrise/sunrise267.jpg,Lever du soleil,211,159,0.20621212679348389,"[157.52912253293633, 75.79888439517693, 62.455955531480214]","[332, 2219, 1033, 8512, 18677, 45665, 4442, 5794, 28456, 3508]"
./Multi-class Weather Dataset/Sunrise/sunrise219.jpg,Lever du soleil,320,179,0.10723937975960364,"[244.59102265794897, 146.59797806668183, 2.2827453577268666]","[869, 3219, 842, 12332, 10409, 27063, 4708, 10960, 43619, 4617]"
./Multi-class Weather Dataset/Sunrise/sunrise31.jpg,Lever du soleil,300,168,0.1641119158677149,"[65.1851078095762, 38.86925935540257, 12.445101511530876]","[288, 2057, 627, 8021, 11408, 30263, 3777, 6490, 52290, 3417]"
./Multi-class Weather Dataset/Rain/rain205.jpg,Pluvieux,417,352,0.21714296507850742,"[106.38506712646875, 107.21819905273816, 104.36708743852097]","[8009, 10643, 9161, 13868, 17307, 13078, 9641, 10496, 9940, 16495]"
./Multi-class Weather Dataset/Sunrise/sunrise3.jpg,Lever du soleil,760,507,0.20412293360682884,"[87.57880419321802, 84.43546683240193, 89.78780960779851]","[831, 4157, 1272, 12323, 14725, 34013, 10422, 9524, 25084, 6287]"
./Multi-class Weather Dataset/Shine/shine116.jpg,Ensoleillé,550,413,0.19609769464163565,"[118.92379707597902, 138.62998549157942, 166.17338836813457]","[1460, 3913, 2837, 14219, 23411, 27977, 8801, 7400, 22077, 6543]"
./Multi-class Weather Dataset/Shine/shine106.jpg,Ensoleillé,300,168,0.22680180459204882,"[113.57159719851565, 163.3948219518093, 202.4574780529847]","[553, 3562, 2041, 11974, 33321, 33286, 6679, 6144, 16723, 4355]"
./Multi-class Weather Dataset/Cloudy/cloudy53.jpg,Nuageux,250,201,0.20617689692224203,"[66.82760497005597, 72.14079940791525, 77.95195969040273]","[710, 2792, 2742, 15039, 42088, 31356, 7556, 5033, 8161, 3161]"
./Multi-class Weather Dataset/Rain/rain168.jpg,Pluvieux,273,184,0.17624367136936553,"[152.31891796104537, 156.61084016477648, 168.18343066855687]","[2630, 6617, 6124, 17902, 32227, 23494, 9970, 6789, 5215, 7670]"
./Multi-class Weather Dataset/Shine/shine18.jpg,Ensoleillé,1024,768,0.19733316390561606,"[171.8060537557001, 190.40252253704546, 235.6243476742275]","[2981, 7275, 2804, 10236, 17847, 25803, 7238, 9908, 22828, 11718]"
./Multi-class Weather Dataset/Sunrise/sunrise100.jpg,Lever du soleil,360,240,0.23882177338934202,"[181.1112945406931, 102.60023384555328, 40.3440974000215]","[1324, 5326, 2352, 13102, 26477, 30043, 10389, 9376, 12782, 7467]"
./Multi-class Weather Dataset/Rain/rain142.jpg,Pluvieux,640,420,0.15620418748403994,"[183.00235695982738, 172.5313631330181, 159.3698218266913]","[7878, 15725, 5507, 8806, 12961, 10899, 8429, 15322, 13176, 19935]"
./Multi-class Weather Dataset/Sunrise/sunrise110.jpg,Lever du soleil,1280,853,0.1675528832988305,"[137.24127183375057, 125.5324258458504, 113.94428640064734]","[7225, 10238, 3353, 8541, 9726, 16610, 7944, 13461, 21071, 20469]"
./Multi-class Weather Dataset/Shine/shine68.jpg,Ensoleillé,300,168,0.2233046212621466,"[125.08212301417969, 179.2175104098181, 209.2313908038529]","[391, 2183, 1296, 13504, 30857, 36092, 9178, 6931, 15262, 2944]"
./Multi-class Weather Dataset/Cloudy/cloudy271.jpg,Nuageux,205,154,0.1561931964668741,"[119.5905911654571, 119.5905911654571, 119.5905911654571]","[243, 1830, 1334, 11753, 42963, 36888, 6825, 5679, 9368, 1755]"
